iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.250100128214480300e-01    9.273470304482941962e-02    3.000000000000000000e+00    2.100000000000000089e+00
3.000000000000000000e+00    1.261180813907206433e-01    2.662426880832313020e-02    6.000000000000000000e+00    3.200000000000000178e+00
4.000000000000000000e+00    7.643452853849201645e-02    9.838860490286309435e-03    9.000000000000000000e+00    4.299999999999999822e+00
5.000000000000000000e+00    4.439881077631310791e-02    3.061796235012991581e-03    1.200000000000000000e+01    5.400000000000000355e+00
6.000000000000000000e+00    2.837776047356511608e-02    1.446250554605401587e-03    1.500000000000000000e+01    6.500000000000000000e+00
7.000000000000000000e+00    1.676714372612592846e-02    4.466151775324113306e-04    1.800000000000000000e+01    7.599999999999999645e+00
8.000000000000000000e+00    1.072845028892179496e-02    2.460284444425904471e-04    2.100000000000000000e+01    8.699999999999999289e+00
9.000000000000000000e+00    6.816192681240443828e-03    8.243570118546787598e-05    2.400000000000000000e+01    9.800000000000000711e+00
1.000000000000000000e+01    6.152329303034296225e-03    1.103930958501355932e-04    2.700000000000000000e+01    1.090000000000000036e+01
1.100000000000000000e+01    3.543052667317149115e-03    2.933920858019529914e-05    3.000000000000000000e+01    1.200000000000000000e+01
1.200000000000000000e+01    3.818827313586039413e-03    4.347443424981705144e-05    3.300000000000000000e+01    1.309999999999999964e+01
1.300000000000000000e+01    2.297400754468873017e-03    1.217391181553178402e-05    3.600000000000000000e+01    1.419999999999999929e+01
1.400000000000000000e+01    2.812328639005365772e-03    2.640795099612408350e-05    3.900000000000000000e+01    1.530000000000000071e+01
1.500000000000000000e+01    2.161783001069136553e-03    1.739004755690729985e-05    4.200000000000000000e+01    1.639999999999999858e+01
1.600000000000000000e+01    2.696747424767268874e-03    2.521140589444319149e-05    4.500000000000000000e+01    1.750000000000000000e+01
1.700000000000000000e+01    1.809189567226595881e-03    7.300317308988840564e-06    4.800000000000000000e+01    1.860000000000000142e+01
1.800000000000000000e+01    1.876439574151900647e-03    9.004213439608925481e-06    5.100000000000000000e+01    1.969999999999999929e+01
1.900000000000000000e+01    1.737463623723232639e-03    7.226349229678573680e-06    5.400000000000000000e+01    2.080000000000000071e+01
2.000000000000000000e+01    1.734153799616638091e-03    7.101837986720577564e-06    5.700000000000000000e+01    2.189999999999999858e+01
2.100000000000000000e+01    1.398827982476893083e-03    4.171863764454584879e-06    6.000000000000000000e+01    2.300000000000000000e+01
2.200000000000000000e+01    1.544146249868999987e-03    6.727465951194112222e-06    6.300000000000000000e+01    2.410000000000000142e+01
2.300000000000000000e+01    1.355196158453457955e-03    4.346334059504221974e-06    6.600000000000000000e+01    2.519999999999999929e+01
2.400000000000000000e+01    1.322188625782453383e-03    4.352748380055241381e-06    6.900000000000000000e+01    2.630000000000000071e+01
2.500000000000000000e+01    1.268049658698333550e-03    3.466757823605413404e-06    7.200000000000000000e+01    2.739999999999999858e+01
2.600000000000000000e+01    9.261458267164436381e-04    2.219620168659706734e-06    7.500000000000000000e+01    2.850000000000000000e+01
2.700000000000000000e+01    9.940548861008746077e-04    2.328624993452290139e-06    7.800000000000000000e+01    2.960000000000000142e+01
2.800000000000000000e+01    9.862649857222073515e-04    2.183309269432096470e-06    8.100000000000000000e+01    3.069999999999999929e+01
2.900000000000000000e+01    8.781038300808743490e-04    1.522513365897374574e-06    8.400000000000000000e+01    3.180000000000000071e+01
