iter    var_error    func_error    n_comm    n_grad
1.000000000000000000e+00    4.530424359066179685e-01    4.719193291409936042e-01    0.000000000000000000e+00    1.000000000000000000e+00
2.000000000000000000e+00    2.788726662930185798e-02    1.452826935485523625e-03    4.000000000000000000e+00    1.020000000000000000e+02
3.000000000000000000e+00    1.752795587828789164e-02    6.736232839946187673e-04    8.000000000000000000e+00    2.030000000000000000e+02
4.000000000000000000e+00    7.962611842072938803e-03    1.239423631939855339e-04    1.200000000000000000e+01    3.040000000000000000e+02
5.000000000000000000e+00    6.440808716394757008e-03    8.083371118720452200e-05    1.600000000000000000e+01    4.050000000000000000e+02
6.000000000000000000e+00    5.375038848716741369e-03    5.544435956213511810e-05    2.000000000000000000e+01    5.060000000000000000e+02
7.000000000000000000e+00    4.446258716257870530e-03    3.873424538652900698e-05    2.400000000000000000e+01    6.070000000000000000e+02
8.000000000000000000e+00    3.889018345458019991e-03    2.934768694413954730e-05    2.800000000000000000e+01    7.080000000000000000e+02
9.000000000000000000e+00    3.287421982350919800e-03    2.133906860983314702e-05    3.200000000000000000e+01    8.090000000000000000e+02
1.000000000000000000e+01    2.921736159705273610e-03    1.676090803894032648e-05    3.600000000000000000e+01    9.100000000000000000e+02
1.100000000000000000e+01    2.520471096907645359e-03    1.263533420949888024e-05    4.000000000000000000e+01    1.011000000000000000e+03
1.200000000000000000e+01    2.258243585051213694e-03    1.011365920532205587e-05    4.400000000000000000e+01    1.112000000000000000e+03
1.300000000000000000e+01    1.984664158754124996e-03    7.884099287938005230e-06    4.800000000000000000e+01    1.213000000000000000e+03
1.400000000000000000e+01    1.788828262485824428e-03    6.398858128973762197e-06    5.200000000000000000e+01    1.314000000000000000e+03
1.500000000000000000e+01    1.597032367842866158e-03    5.133355420672206530e-06    5.600000000000000000e+01    1.415000000000000000e+03
1.600000000000000000e+01    1.447037794657176626e-03    4.215946149367013615e-06    6.000000000000000000e+01    1.516000000000000000e+03
